accuracy,loss,t-loss
0.26562,249.97867,202.00253
0.31250,106.32307,89.96980
0.26562,41.76640,38.36341
0.08594,2.64612,3.01897
0.07812,2.71553,2.81800
0.07812,2.34745,2.47599
0.07812,2.43963,2.41905
0.08594,2.30762,2.33861
0.11719,2.31351,2.54719
0.10938,2.27974,2.24375
0.09375,2.29031,2.27395
0.10156,2.71331,2.20697
0.10938,2.26634,2.30732
0.16406,2.31716,2.20313
0.14062,2.17191,2.15135
0.07812,2.24309,2.33674
0.13281,2.20620,2.27953
0.11719,2.23891,2.17137
0.19531,2.24745,2.11202
0.10156,2.42863,2.13011
0.14062,2.20855,2.14453
0.10938,2.25228,2.27070
0.18750,2.11555,2.05868
0.23438,2.15924,2.20924
0.16406,2.26279,2.20307
0.15625,2.16373,2.12040
0.14062,2.17107,2.15075
0.16406,2.23475,2.30616
0.19531,2.18954,2.14907
0.27344,1.99029,2.04558
0.21094,2.08959,2.15727
0.17188,2.19381,2.05172
0.17188,2.07635,2.16118
0.16406,2.15072,1.93810
0.17188,2.15563,2.07582
0.14844,2.07580,2.08389
0.17969,2.05234,2.13194
0.14844,2.10576,2.12433
0.17188,1.98487,1.98206
0.20312,2.03766,2.14208
0.10938,2.18023,2.07677
0.21875,2.08196,2.07931
0.19531,2.14124,2.10957
0.16406,1.99614,1.97380
0.17188,2.06353,2.04149
0.11719,2.25105,1.97908
0.15625,2.00684,1.97181
0.12500,2.05941,2.06848
0.17969,2.12207,2.03038
0.20312,2.05823,1.98203
0.14844,2.10349,2.04022
0.21094,2.22331,2.01025
0.18750,2.09277,2.06600
0.16406,2.21584,2.04773
0.18750,2.00633,1.93287
0.17969,2.00885,1.97855
0.18750,2.02145,1.94289
0.18750,2.09405,1.98442
0.14844,2.06638,1.92810
0.15625,2.09457,2.07954
0.17969,2.04634,2.01915
0.26562,2.04209,1.90579
0.14844,2.19337,1.97337
0.12500,2.41162,2.30774
0.32031,1.76867,2.00632
0.17969,2.05778,1.98608
0.14844,2.00875,2.03655
0.20312,1.94389,1.92553
0.11719,2.28431,2.10936
0.19531,1.89556,1.90833
0.24219,2.00522,1.81975
0.22656,2.04191,2.02256
0.14844,2.05456,1.95695
0.21094,2.49802,2.06160
0.16406,2.13282,2.20769
0.17188,2.05860,2.09439
0.21875,2.17377,2.09019
0.25781,1.90561,1.90195
0.19531,1.93100,1.98777
0.19531,1.96173,2.37208
0.25781,1.90782,1.92280
0.16406,2.09605,1.90419
0.14844,2.02124,1.84993
0.25000,2.00816,1.87457
0.17969,2.04594,1.97456
0.19531,1.99981,1.92483
0.18750,2.07381,1.88117
0.18750,2.01770,1.95963
0.17188,2.07280,1.83872
0.20312,2.02475,1.99514
0.13281,2.08349,1.94630
0.20312,1.84381,1.82638
0.11719,2.12591,1.88658
0.18750,1.98638,1.83652
0.22656,1.88979,1.77977
0.21875,1.98983,1.85439
0.28906,1.96118,1.88558
0.25781,1.90415,1.93067
0.27344,1.79482,2.02723
0.20312,2.06661,1.85052
0.26562,1.95894,1.86977
0.20312,2.11895,1.87963
0.17969,1.97651,1.91831
0.18750,1.96901,1.75126
0.18750,2.08410,1.73828
0.23438,1.78612,1.82233
0.19531,2.08848,1.92854
0.25000,1.82014,1.83343
0.21094,2.03361,1.81749
0.26562,2.06237,1.70879
0.20312,1.83847,1.73289
0.23438,1.97592,1.89562
0.20312,1.86370,1.70058
0.15625,1.93291,1.80364
0.24219,1.86238,1.89105
0.21094,1.98029,1.74151
0.26562,1.92315,1.81372
0.14062,2.06738,1.86183
0.21094,1.85245,1.83476
0.19531,2.01770,1.82294
0.25781,1.99722,1.94408
0.18750,2.55553,2.12400
0.20312,1.83355,1.85681
0.21875,1.85999,1.74586
0.17969,1.85661,1.93151
0.18750,1.93861,1.78424
0.18750,1.97675,1.87760
0.26562,2.03226,1.89237
0.19531,1.87560,1.70037
0.28125,1.82094,1.91760
0.17188,1.96939,1.75022
0.28125,1.81739,1.73648
0.25000,1.93806,1.77069
0.28125,1.80205,1.88558
0.24219,2.20047,1.93011
0.21875,1.81933,1.66137
0.18750,1.87804,1.59449
0.28125,2.09502,2.00324
0.19531,1.83985,1.72860
0.25000,1.75116,1.67659
0.28125,1.67667,1.63177
0.29688,1.87969,1.98960
0.31250,1.82860,1.85514
0.27344,1.75535,1.76689
0.25000,1.71753,1.75075
0.27344,1.76085,1.80957
0.17969,1.96221,1.83232
0.25781,1.96461,1.66012
0.20312,1.90417,1.59792
0.23438,1.91026,1.64681
0.25000,1.78259,1.64207
0.25781,1.88896,1.68710
0.21094,1.85295,1.61437
0.32031,1.73333,1.80846
0.20312,2.04910,1.81732
0.31250,1.83641,1.58079
0.28906,1.90156,1.74534
0.25781,2.07003,1.58033
0.35938,1.92664,1.72178
0.28125,2.04357,1.75913
0.29688,1.77777,1.84931
0.23438,1.84443,1.67834
0.29688,1.75983,1.67582
0.29688,1.80621,1.70314
0.22656,1.83272,1.78156
0.23438,1.75535,1.66041
0.21094,1.85133,1.53401
0.23438,1.66574,1.72298
0.26562,1.76952,1.69186
0.20312,1.83039,1.62674
0.21875,1.85510,1.52087
0.28125,1.77697,1.61943
0.28125,1.69207,1.58098
0.22656,1.79271,1.67293
0.25781,1.81749,1.78739
0.25000,1.75943,1.59126
0.36719,1.70275,1.59068
0.30469,1.83050,1.59963
0.25781,1.91054,1.75206
0.30469,1.88195,1.59632
0.31250,1.80761,1.58027
0.29688,1.95425,1.51552
0.28125,1.75635,1.80684
0.30469,1.81351,1.58733
0.28906,1.80942,1.62502
0.32031,1.62897,1.72611
0.36719,1.60101,1.51588
0.28125,1.87297,1.49030
0.31250,1.72926,1.48877
0.26562,1.95602,1.59975
0.32031,1.81175,1.59762
0.28125,1.61622,1.49639
0.36719,1.52732,1.75381
0.32812,1.84221,1.65422
0.39844,1.65546,1.59574
