accuracy,loss,t-loss
0.23438,45.26746,48.60242
0.23438,24.74041,21.28888
0.30469,13.79000,14.20801
0.30469,10.25305,9.16470
0.34375,6.05124,6.87604
0.30469,5.01845,3.74043
0.30469,2.79554,2.43349
0.38281,1.89602,2.20239
0.30469,1.91349,1.96447
0.25000,2.02752,1.74005
0.36719,1.68495,1.98764
0.35156,1.73490,1.80618
0.39844,1.58863,1.94412
0.35156,1.78527,1.71909
0.36719,1.78134,1.53788
0.40625,1.69977,1.65379
0.41406,1.83320,1.66788
0.40625,1.65279,1.51111
0.36719,1.62172,1.57886
0.42969,1.60664,1.51988
0.43750,1.59459,1.31114
0.48438,1.64343,1.58798
0.38281,1.88858,1.47720
0.45312,1.67422,1.55340
0.32031,2.12007,1.59276
0.32812,1.73389,1.35088
0.48438,1.36137,1.65861
0.44531,1.56743,1.52220
0.35156,1.81772,1.51201
0.45312,1.53363,1.56923
0.38281,1.66402,1.33161
0.47656,1.44883,1.51169
0.48438,1.57221,1.27070
0.52344,1.42822,1.48340
0.48438,1.50317,1.53404
0.51562,1.65457,1.37320
0.46094,1.42278,1.49599
0.53125,1.45608,1.46520
0.44531,1.95305,1.34953
0.46094,1.64840,1.32248
0.51562,1.43386,1.12188
0.45312,1.54040,1.24177
0.51562,1.50407,1.52765
0.48438,1.54806,1.12880
0.47656,1.44043,1.10177
0.39062,1.85714,1.46438
0.50000,1.57044,1.34312
0.48438,1.43773,1.22053
0.46875,1.66571,1.25971
0.50000,1.43561,1.29647
0.53125,1.48594,1.42634
0.45312,1.70452,1.44706
0.50781,1.46604,1.29579
0.55469,1.59363,1.38838
0.49219,1.74108,1.46448
0.50000,1.81803,1.33818
0.46875,1.69390,1.29607
0.56250,1.27789,0.98800
0.49219,1.46317,1.22948
0.50781,1.41879,1.21754
0.53125,1.44785,1.19026
0.66406,1.04536,1.30750
0.60938,1.22895,1.07136
0.51562,1.51302,1.14149
0.53906,1.37660,1.14875
0.42969,1.63542,1.10911
0.53125,1.36953,1.00986
0.50000,1.51212,1.26540
0.49219,1.40645,1.07420
0.46094,1.69203,1.28393
0.54688,1.29224,1.24568
0.57812,1.47958,1.34216
0.55469,1.38235,1.24381
0.56250,1.67766,1.12193
0.43750,1.69118,1.24580
0.46094,1.67471,1.11028
0.58594,1.26860,1.08732
0.44531,1.71629,1.21231
0.55469,1.43686,1.11334
0.55469,1.47911,1.15457
0.57812,1.31241,1.07361
0.60156,1.28000,1.00190
0.55469,1.46528,1.31384
0.50781,1.46304,1.58441
0.57031,1.56803,1.23855
0.53906,1.38110,1.00319
0.50781,1.54688,1.07104
0.62500,1.32847,0.80886
0.57031,1.30269,0.94954
0.63281,1.22659,1.05760
0.55469,1.42648,0.82039
0.64844,1.19270,0.89958
0.57812,1.32117,0.89399
0.63281,1.38076,0.90131
0.53125,1.26991,0.74923
0.57812,1.48376,1.35686
0.54688,1.52066,1.05736
0.56250,1.55590,0.82401
0.64062,1.14265,0.84208
0.51562,1.54317,1.09316
0.50781,1.64567,0.97169
0.53125,1.60615,0.99217
0.53125,1.34062,0.96347
0.65625,1.30558,0.90829
0.58594,1.31677,0.76769
0.57812,1.24566,1.04050
0.51562,1.72104,0.77444
0.64844,1.12064,0.88005
0.59375,1.35208,0.75136
0.56250,1.32808,0.83647
0.55469,1.50208,0.78147
0.55469,1.51294,0.83421
0.56250,1.34114,1.11811
0.52344,1.59159,1.07989
0.60938,1.41735,0.63469
0.49219,1.60934,0.95005
0.64062,1.27678,1.08442
0.57031,1.30617,1.09038
0.60938,1.30778,0.90592
0.58594,1.38626,0.84281
0.60938,1.05546,0.55529
0.55469,1.60401,0.89994
0.65625,1.14226,0.89201
0.63281,1.16218,0.82826
0.60156,1.27613,0.84125
0.59375,1.19505,0.89883
0.64062,1.21631,0.90814
0.66406,1.15256,0.84948
0.56250,1.35464,0.87172
0.53125,1.33585,0.90049
0.64844,1.21466,0.86060
0.60156,1.29309,0.67065
0.64844,1.09346,0.67676
0.63281,1.15289,0.85431
0.59375,1.28222,0.55901
0.57812,1.30806,0.84744
0.64062,1.10650,0.62064
0.54688,1.36310,0.69040
0.61719,1.32280,0.58653
0.57812,1.16996,0.80470
0.70312,1.13379,0.80246
0.64062,1.04347,0.83750
0.57812,1.30367,0.78686
0.59375,1.27072,0.64641
0.61719,1.49194,0.89729
0.56250,1.53512,0.89130
0.56250,1.39966,0.58254
0.64844,1.11987,0.98682
0.61719,1.10513,1.09017
0.55469,1.35277,0.59578
0.55469,1.38575,0.48963
0.60156,1.40474,0.67324
0.60938,1.18708,0.67569
0.66406,1.11036,0.51787
0.66406,1.20062,0.84295
0.61719,1.17291,0.70116
0.63281,1.38774,0.95246
0.64844,1.64701,0.54038
0.69531,1.23695,0.50565
0.66406,1.12652,0.59846
0.68750,1.41767,0.65864
