accuracy,loss,t-loss
0.25000,1.09081,1.09305
0.15000,1.09282,1.08685
0.20000,1.08349,1.08448
0.25000,1.07668,1.04478
0.25000,1.06820,1.06194
0.20000,1.06334,1.03259
0.35000,1.05867,0.96525
0.45000,1.06305,0.94622
0.55000,1.05506,1.00178
0.50000,1.01946,0.97984
0.65000,0.97469,0.93481
0.50000,1.01146,0.95781
0.50000,0.95511,0.90874
0.55000,0.94852,0.80072
0.65000,0.85879,0.68052
0.50000,0.89984,0.75626
0.65000,0.79557,0.71676
0.60000,0.77373,0.70679
0.60000,0.74092,0.73926
0.50000,0.75549,0.69906
0.70000,0.61525,0.64868
0.50000,0.67786,0.62396
0.70000,0.54254,0.47275
0.65000,0.56354,0.46643
0.50000,0.61858,0.45339
0.70000,0.50373,0.41885
0.65000,0.52343,0.36844
0.60000,0.51018,0.25228
0.65000,0.51176,0.56214
0.70000,0.47655,0.37002
0.90000,0.41852,0.49206
0.60000,0.48247,0.28330
0.60000,0.48178,0.24233
0.85000,0.36261,0.24793
0.60000,0.46891,0.29874
0.80000,0.41971,0.45587
0.90000,0.39070,0.38960
0.70000,0.42828,0.20160
1.00000,0.38190,0.40542
0.95000,0.36178,0.20083
0.80000,0.37872,0.36124
0.60000,0.44634,0.24300
1.00000,0.32936,0.29411
1.00000,0.32082,0.33343
0.95000,0.27094,0.14229
0.95000,0.34267,0.34374
0.95000,0.32215,0.23030
0.80000,0.29896,0.36339
1.00000,0.31939,0.17189
0.95000,0.33519,0.13483
1.00000,0.29733,0.25791
0.95000,0.26224,0.27756
0.90000,0.27995,0.14826
1.00000,0.22147,0.14680
1.00000,0.22320,0.19590
1.00000,0.26796,0.12957
1.00000,0.27329,0.11010
1.00000,0.20370,0.21672
1.00000,0.23083,0.16779
1.00000,0.23451,0.25064
1.00000,0.20805,0.11197
0.95000,0.23218,0.12080
1.00000,0.19998,0.21591
0.95000,0.22970,0.20484
1.00000,0.19063,0.17432
1.00000,0.17185,0.13594
1.00000,0.18151,0.09653
1.00000,0.20459,0.09319
