accuracy,loss,t-loss
0.15000,1.20081,1.16106
0.25000,1.15497,1.08855
0.20000,1.15691,1.12793
0.15000,1.13832,1.08648
0.20000,1.10132,1.08418
0.50000,1.10598,1.06264
0.55000,1.08011,0.95362
0.70000,1.00621,1.02767
0.60000,0.99727,1.00586
0.50000,0.99850,0.87978
0.60000,0.92111,0.86494
0.50000,0.88954,0.90676
0.65000,0.76647,0.74360
0.65000,0.69460,0.63175
0.50000,0.72848,0.66168
0.50000,0.66946,0.51058
0.50000,0.62154,0.61511
0.55000,0.57176,0.41929
0.65000,0.46910,0.35637
0.70000,0.44630,0.57419
0.65000,0.44971,0.21285
0.65000,0.46092,0.33637
0.70000,0.39586,0.45271
0.75000,0.35907,0.27519
0.55000,0.47345,0.29494
0.85000,0.36783,0.38551
0.85000,0.37025,0.45172
0.75000,0.40975,0.47156
0.70000,0.38759,0.43696
0.75000,0.40453,0.33737
0.80000,0.37901,0.21716
0.90000,0.32085,0.35537
0.75000,0.39701,0.27990
0.80000,0.38568,0.37823
0.90000,0.26894,0.19925
0.80000,0.36428,0.11670
0.85000,0.31898,0.17347
0.95000,0.24495,0.14951
0.85000,0.30761,0.26886
0.95000,0.26080,0.25172
0.90000,0.28476,0.18764
1.00000,0.23607,0.23516
1.00000,0.23462,0.10809
0.95000,0.23113,0.25066
0.95000,0.24635,0.18068
0.95000,0.20995,0.21283
1.00000,0.19942,0.15508
1.00000,0.19154,0.14296
1.00000,0.15061,0.10805
0.95000,0.19314,0.15648
0.95000,0.19295,0.07493
0.95000,0.17970,0.15966
1.00000,0.16586,0.07669
1.00000,0.14727,0.11459
1.00000,0.11839,0.15853
0.95000,0.20299,0.12963
0.95000,0.16593,0.05100
0.95000,0.16672,0.05562
0.95000,0.16259,0.06078
1.00000,0.07164,0.10062
1.00000,0.10694,0.10423
1.00000,0.07481,0.05406
1.00000,0.08944,0.09443
1.00000,0.10791,0.03425
1.00000,0.09811,0.08128
0.95000,0.16584,0.04629
1.00000,0.07266,0.05087
0.95000,0.15198,0.07482
1.00000,0.07826,0.08106
1.00000,0.07339,0.08387
1.00000,0.07998,0.10774
1.00000,0.10968,0.09663
1.00000,0.04910,0.07390
